,tickers,best_value,best_param
88,CARR,1.4893077066054552,"{'r1': 12, 'ad': 14, 'limad': 4, 'wmean': 12, 'mc_ratio': 1.08}"
89,CTLT,2.455400951769228,"{'r1': 5, 'ad': 10, 'limad': 11, 'wmean': 8, 'mc_ratio': 1.07}"
90,CAT,1.6691064623310266,"{'r1': 15, 'ad': 8, 'limad': 10, 'wmean': 12, 'mc_ratio': 1.09}"
91,CBOE,1.2052714716079183,"{'r1': 9, 'ad': 9, 'limad': 17, 'wmean': 8, 'mc_ratio': 1.29}"
92,CBRE,1.490242974140143,"{'r1': 6, 'ad': 25, 'limad': 3, 'wmean': 7, 'mc_ratio': 1.42}"
93,CDW,1.2068763207883948,"{'r1': 14, 'ad': 28, 'limad': 9, 'wmean': 7, 'mc_ratio': 1.03}"
94,CE,1.3940082311623427,"{'r1': 7, 'ad': 19, 'limad': 12, 'wmean': 9, 'mc_ratio': 1.04}"
95,COR,1.612849242218931,"{'r1': 5, 'ad': 23, 'limad': 14, 'wmean': 5, 'mc_ratio': 1.05}"
96,CNC,1.3204465262406229,"{'r1': 7, 'ad': 6, 'limad': 17, 'wmean': 11, 'mc_ratio': 1.01}"
97,CNP,1.1887204362319979,"{'r1': 7, 'ad': 17, 'limad': 9, 'wmean': 7, 'mc_ratio': 1.3599999999999999}"
98,CF,1.1602699585597915,"{'r1': 5, 'ad': 30, 'limad': 20, 'wmean': 3, 'mc_ratio': 1.44}"
99,CRL,1.7766771440250668,"{'r1': 13, 'ad': 22, 'limad': 15, 'wmean': 10, 'mc_ratio': 1.08}"
100,SCHW,1.6822171995491035,"{'r1': 12, 'ad': 19, 'limad': 7, 'wmean': 12, 'mc_ratio': 1.07}"
101,CHTR,1.3552270565637339,"{'r1': 15, 'ad': 5, 'limad': 20, 'wmean': 4, 'mc_ratio': 1.49}"
102,CVX,1.1610701674853925,"{'r1': 12, 'ad': 23, 'limad': 16, 'wmean': 4, 'mc_ratio': 1.29}"
103,CMG,1.6904512881748088,"{'r1': 13, 'ad': 27, 'limad': 14, 'wmean': 12, 'mc_ratio': 1.06}"
104,CB,1.2466352675199,"{'r1': 8, 'ad': 23, 'limad': 11, 'wmean': 11, 'mc_ratio': 1.03}"
105,CHD,1.33998965245321,"{'r1': 6, 'ad': 29, 'limad': 17, 'wmean': 5, 'mc_ratio': 1.02}"
106,CI,1.1656922012696211,"{'r1': 14, 'ad': 16, 'limad': 13, 'wmean': 3, 'mc_ratio': 1.02}"
107,CINF,1.307712683008654,"{'r1': 7, 'ad': 9, 'limad': 15, 'wmean': 11, 'mc_ratio': 1.02}"
108,CTAS,1.2643149525087598,"{'r1': 7, 'ad': 29, 'limad': 5, 'wmean': 4, 'mc_ratio': 1.24}"
109,CSCO,1.2967457710457349,"{'r1': 15, 'ad': 26, 'limad': 12, 'wmean': 4, 'mc_ratio': 1.06}"
110,C,1.681330439132753,"{'r1': 5, 'ad': 29, 'limad': 5, 'wmean': 4, 'mc_ratio': 1.04}"
111,CFG,1.6583945350827316,"{'r1': 7, 'ad': 22, 'limad': 11, 'wmean': 6, 'mc_ratio': 1.05}"
112,CLX,1.3742194485417927,"{'r1': 6, 'ad': 30, 'limad': 12, 'wmean': 11, 'mc_ratio': 1.49}"
113,CME,1.1900595190005059,"{'r1': 13, 'ad': 9, 'limad': 18, 'wmean': 8, 'mc_ratio': 1.27}"
114,CMS,1.2529363856570894,"{'r1': 15, 'ad': 22, 'limad': 7, 'wmean': 9, 'mc_ratio': 1.01}"
115,KO,1.2932481086963619,"{'r1': 7, 'ad': 24, 'limad': 2, 'wmean': 8, 'mc_ratio': 1.19}"
116,CTSH,1.1478449198524587,"{'r1': 8, 'ad': 9, 'limad': 14, 'wmean': 11, 'mc_ratio': 1.02}"
117,CL,1.330439589664594,"{'r1': 6, 'ad': 30, 'limad': 15, 'wmean': 9, 'mc_ratio': 1.03}"
118,CMCSA,1.1574808240460714,"{'r1': 6, 'ad': 21, 'limad': 9, 'wmean': 3, 'mc_ratio': 1.12}"
119,CAG,1.125542303539997,"{'r1': 13, 'ad': 22, 'limad': 2, 'wmean': 10, 'mc_ratio': 1.01}"
120,COP,1.2942789676522797,"{'r1': 13, 'ad': 29, 'limad': 3, 'wmean': 8, 'mc_ratio': 1.04}"
