,tickers,best_value,best_param
169,EMR,1.0650475956260308,"{'r1': 30, 'ad': 3, 'limad': 54, 'wmean': 6}"
170,ENPH,1.9379719704023504,"{'r1': 5, 'ad': 8, 'limad': 4, 'wmean': 10}"
171,ETR,1.366629538131338,"{'r1': 4, 'ad': 28, 'limad': 17, 'wmean': 8}"
172,EOG,1.1237402956988731,"{'r1': 10, 'ad': 24, 'limad': 10, 'wmean': 5}"
173,EPAM,1.9534504592011852,"{'r1': 5, 'ad': 7, 'limad': 37, 'wmean': 4}"
174,EQT,1.855168293952219,"{'r1': 11, 'ad': 10, 'limad': 20, 'wmean': 10}"
175,EFX,1.5414020202713987,"{'r1': 2, 'ad': 19, 'limad': 6, 'wmean': 9}"
176,EQIX,1.4283383720744258,"{'r1': 8, 'ad': 25, 'limad': 15, 'wmean': 6}"
177,EQR,1.1165695047986308,"{'r1': 30, 'ad': 9, 'limad': 20, 'wmean': 5}"
178,ESS,1.2572196319698448,"{'r1': 29, 'ad': 6, 'limad': 30, 'wmean': 4}"
179,EL,1.3950711212585294,"{'r1': 30, 'ad': 22, 'limad': 18, 'wmean': 10}"
180,ETSY,1.3816681983172194,"{'r1': 2, 'ad': 18, 'limad': 31, 'wmean': 4}"
181,EG,1.4466739310826549,"{'r1': 5, 'ad': 12, 'limad': 5, 'wmean': 7}"
182,EVRG,1.2598969180202917,"{'r1': 6, 'ad': 20, 'limad': 19, 'wmean': 8}"
183,ES,1.2054956905225538,"{'r1': 17, 'ad': 26, 'limad': 15, 'wmean': 4}"
184,EXC,1.3327190007171137,"{'r1': 2, 'ad': 10, 'limad': 17, 'wmean': 4}"
185,EXPE,1.7571524227612227,"{'r1': 23, 'ad': 9, 'limad': 19, 'wmean': 8}"
186,EXPD,1.0371018398732905,"{'r1': 13, 'ad': 20, 'limad': 59, 'wmean': 8}"
187,EXR,1.5166599628595516,"{'r1': 9, 'ad': 20, 'limad': 6, 'wmean': 5}"
188,XOM,1.112529740141363,"{'r1': 20, 'ad': 5, 'limad': 41, 'wmean': 9}"
189,FFIV,1.3875123067992117,"{'r1': 14, 'ad': 5, 'limad': 37, 'wmean': 8}"
190,FDS,1.2849102103838663,"{'r1': 21, 'ad': 10, 'limad': 18, 'wmean': 9}"
191,FICO,1.8008813559099097,"{'r1': 27, 'ad': 5, 'limad': 19, 'wmean': 6}"
192,FAST,1.5243842725260517,"{'r1': 5, 'ad': 16, 'limad': 21, 'wmean': 8}"
193,FRT,1.3398053229296234,"{'r1': 4, 'ad': 28, 'limad': 10, 'wmean': 6}"
194,FDX,1.1033158732411377,"{'r1': 9, 'ad': 25, 'limad': 32, 'wmean': 9}"
195,FIS,1.4514659164743065,"{'r1': 5, 'ad': 20, 'limad': 17, 'wmean': 10}"
196,FITB,1.3021614249098639,"{'r1': 18, 'ad': 12, 'limad': 31, 'wmean': 10}"
197,FSLR,2.5615885782500727,"{'r1': 2, 'ad': 3, 'limad': 29, 'wmean': 6}"
198,FE,1.2276741736369094,"{'r1': 3, 'ad': 13, 'limad': 13, 'wmean': 9}"
199,FI,1.43153684542425,"{'r1': 8, 'ad': 18, 'limad': 11, 'wmean': 7}"
200,FLT,1.1761663041364256,"{'r1': 11, 'ad': 3, 'limad': 32, 'wmean': 5}"
201,FMC,1.2213281670873621,"{'r1': 22, 'ad': 16, 'limad': 19, 'wmean': 9}"
202,F,1.69696223420269,"{'r1': 21, 'ad': 3, 'limad': 37, 'wmean': 9}"
203,FTNT,1.6512856286901731,"{'r1': 2, 'ad': 14, 'limad': 20, 'wmean': 6}"
204,FTV,1.3191997885044557,"{'r1': 9, 'ad': 20, 'limad': 11, 'wmean': 10}"
205,FOXA,1.040375654965218,"{'r1': 29, 'ad': 25, 'limad': 18, 'wmean': 5}"
206,FOX,1.0881522305521751,"{'r1': 2, 'ad': 4, 'limad': 39, 'wmean': 4}"
