,tickers,best_value,best_param
86,KRW-SAND,2.0058632745882368,"{'r1': 8, 'ad': 5, 'limad': 48, 'wmean': 7}"
87,KRW-HPO,2.062431336108014,"{'r1': 24, 'ad': 12, 'limad': 23, 'wmean': 8}"
88,KRW-DOGE,3.7162737648670743,"{'r1': 6, 'ad': 11, 'limad': 15, 'wmean': 4}"
89,KRW-STRK,1.5454044021867392,"{'r1': 3, 'ad': 19, 'limad': 27, 'wmean': 10}"
90,KRW-PUNDIX,3.82657279187889,"{'r1': 4, 'ad': 11, 'limad': 4, 'wmean': 4}"
91,KRW-FLOW,4.124828779103848,"{'r1': 3, 'ad': 7, 'limad': 11, 'wmean': 4}"
92,KRW-AXS,1.633323965595921,"{'r1': 2, 'ad': 27, 'limad': 27, 'wmean': 6}"
93,KRW-STX,11.626786373447937,"{'r1': 29, 'ad': 22, 'limad': 17, 'wmean': 8}"
94,KRW-XEC,2.8635410792198197,"{'r1': 8, 'ad': 17, 'limad': 31, 'wmean': 5}"
95,KRW-SOL,9.594965623136277,"{'r1': 23, 'ad': 24, 'limad': 16, 'wmean': 7}"
96,KRW-MATIC,4.043462970868539,"{'r1': 14, 'ad': 2, 'limad': 32, 'wmean': 10}"
97,KRW-AAVE,2.8796317401990206,"{'r1': 3, 'ad': 2, 'limad': 4, 'wmean': 10}"
98,KRW-1INCH,2.037683485763074,"{'r1': 6, 'ad': 30, 'limad': 11, 'wmean': 4}"
99,KRW-ALGO,2.3455277200704554,"{'r1': 5, 'ad': 25, 'limad': 26, 'wmean': 8}"
100,KRW-NEAR,3.2680894720851636,"{'r1': 22, 'ad': 25, 'limad': 6, 'wmean': 10}"
101,KRW-AVAX,9.28054695516669,"{'r1': 12, 'ad': 4, 'limad': 8, 'wmean': 4}"
102,KRW-T,,
103,KRW-CELO,,
104,KRW-GMT,,
105,KRW-APT,,
106,KRW-SHIB,,
107,KRW-MASK,,
108,KRW-ARB,,
109,KRW-EGLD,,
110,KRW-SUI,,
111,KRW-GRT,,
112,KRW-BLUR,,
113,KRW-IMX,,
114,KRW-SEI,,
115,KRW-MINA,,
116,KRW-CTC,,
117,KRW-ASTR,,
